% 1. Title : cyclus.spam.train
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-11-25
@RELATION BUGGY
@ATTRIBUTE Comment STRING
@ATTRIBUTE classification {clean,buggy}

@DATA
" This adds the boost library to the BookKeeper class and sucessfully passes read and write tests for integers and doubles in 1 2 and 3 dimensions. Strings will take a back seat for now so that functions specific to simulation records can be address in the near term.",buggy
" Changes default float type to IEEE_F64LE rather than  IEE_F32LE. Minor.",clean
" Some progress writing model implemenations in a hierarchical way is begun with this. Please ignore compiler warning about HOFFSET for now.",buggy
" This adds a RecipeReactor model to version control. While it has the right datamembers it doesn't have all the necessary functionality yet.",buggy
" Improves BookKeeper capabilities. Mostly committing to test platform portability.",buggy
" This fixes the warning about HOFFSET introduced in r281  now treating strings as char[128] character arrays of fixed length .",buggy
" This makes the BookKeeper a little better at dealing with c_strings.",clean
" Oops.",clean
" This adds decay functionality to the Material class. Does not yet pass all tests.",buggy
" Updated NWTRB Facility Catalog with needed changes for lifetime and naming conventions from wiki issues.",buggy
" Adjustments concerning decay address different indexing convention. Additions to the MaterialTests class confirm functions of composition changing .",buggy
" Decay passes tests.",buggy
" Implemented model writing for regions insts facs and markets. Output database now has some real structure! Contemplate adjusting this to more hierarchically (region<inst<fac<data market<data material<data  etc.)",buggy
" Adds some implementation of Transaction structure. Some test fixtures still must be updated to confirm that bookkeeper is implemented correctly.",buggy
" Minor fix for a bug introduced in writeModelLists in the last revision",buggy
" Adds a storage facility that releases material after a characteristic residence time. NOTE: decay does not occur within the storage facility.",clean
" Oops. Forgot to svn add the files in the last revision.",buggy
" Implements transactions table.",clean
" Slightly better database structure allowing for easier extraction using pytables.",clean
" This udates the nwtrb facility catalog recipebook etc in order to load all facilities as recipe reactors. cyclus.rng file correctly parses this set of files now... Onward to making the recipereactor behave!",buggy
" Adds the capability for multiple fuel types to the RecipeReactor but more cycle behavior tweaks are required before it performs exactly as expected..",buggy
" Adds batch handling to the RecipeReactor.",buggy
" RecipeReactor loads recipes more properly potentially more succintly with a fuelpairs structure.",buggy
" The Recipe Reactor cycles through its list of recipes properly.",buggy
" working on StorageFacility",buggy
" more work towards storge facility",buggy
" Should fix query for total mass of empty stocks. Please check.",clean
" almost done with StorageFacility",clean
" The SeparationsMatrixFacility now compiles.  I still need to do some heavy debugging using basic test cases before ready for use in nwtrb benchmark.",buggy
" StorageFacility now has an initial stocks capability; it can but currently does not record the facility from which it receieves material at time = 0",buggy
" This adds a material history table to the BookKeeper. I would like this to be written in a more awesome way but for the moment this will do. Soon enough this can be rewritten as a better organized large sparse dataset.",buggy
" work on a new capacity region. still need to write an input file to begin debugging.",buggy
" work on a new capacity region. still need to write an input file to begin debugging.",buggy
" more work on capacity region. next steps are to make a capacity region input to check the xml interface.",buggy
" Updated SeparationsMatrixFacility files.  Still work in progress.",buggy
" Input recipes for fresh PWR and RUOX PWR fuel.  Need to get files off computer with other fresh input recipes later.  Still working on script for output isotopics.",buggy
" Script parsing ORIGEN output now complete.  Updated NWTRB recipebook is for Post-2010 PWR spent fuel recipe.  Lingering question about oxygen accounting will be addressed soon along with rest of spent fuel recipes.",buggy
" nwtrb test input file made and is ready for recipe testing.",buggy
" nearing completion of simple capacity region",buggy
" made location for NWTRB origin files",clean
" added folder for nwtrb doe input files and entries for fresh pwr and bwr fuel in the recipe book. should we add U-234 and U-236? if so at nominal natural percentages or with enrichment?",buggy
" added raw nwtrb plant file",clean
" initial stocks for nwtrb have been parsed and added to nwtrb.in.xml",buggy
" Here is the .xml recipes file which has the spent fuel isotopics for Pre-2010 PWR and BWR fuel to support Phase 1 of NWTRB test.",buggy
" Here is folder which has the recipeParse.py file for generating isotopics from Origin .out files. It also has all the .out files for the recipes for Pre- and Post-2010 Fresh UO2 RUO2 and 5 year decayed MOX from pre-2010 spent UO2 fuel",buggy
" some moving and shaking with origin files. nothing big",buggy
" nwtrb runs with all facilities and initial stocks. next step is to write initial stocks to the database post-process and verify.",buggy
" nwtrb simulation now runs with all facilities included and material recipes for BWRs and PWRs. Still need to develop a database writing function and post processing to complete Phase 1.",clean
" all code-related phase 1 capability is complete save post-processing.",buggy
" I was able to get a quick-and-dirty output for nwtrb phase 1. It applies the total initial mass in BWRs and PWRs multiplied by the spent fuel recipie's mass fractions. I haven't checked it. Nor has decay been taken into account. To take decay into account we need to have more robust BookKeeping. That'll be the next step. Then we can check to make sure the original spent fuel recipes are correct and then phase 1 is complete",buggy
" I was able to get a quick-and-dirty output for nwtrb phase 1. It applies the total initial mass in BWRs and PWRs multiplied by the spent fuel recipie's mass fractions. I haven't checked it. Nor has decay been taken into account. To take decay into account we need to have more robust BookKeeping. That'll be the next step. Then we can check to make sure the original spent fuel recipes are correct and then phase 1 is complete",buggy
" wanting to upload general sepfacmat facility testing file",buggy
" Updated recipebook with ORIGEN Uranium enrichment isotopics for Pre-2010 PWRs and BWRs.  Next up is updating Post-2010 PWRs and BWRs and then trying to apply for re-enriched UOX.",buggy
" Recipe now updated for Post-2010 PWR and BWR and Recycled PWR from Post-2010 spent uranium.",buggy
" Phase 1 mass tracking seems to be correct now. I updated the post-processing to account for all isotopes including those with A < 70.  I think issue was mass difference due to oxygen in spent fuel now being counted. Next step is additional testing then back to Separations work.",buggy
" added PreHistory to simulation progression. this acts as a time between initialize and t=0 in which initial conditions can be set. i chose this method because of possible dependencies on facility initializations which arose in setting up the storage facility.",buggy
" Updated StorageFacility's action on PreHistory. Note it is currently BROKEN -- the xml node pointer is not storing correctly within the StorageFacility class.",buggy
" The storage facility is broken as noted in r344 so I took it out of the build in CMakeLists. Note if something is broken in the future it's probably best to simultaneously remove it from the appropriate CMakeLists file.",clean
" This adds skeletal repository facility models to version control.",buggy
" Repository was too general a name this repository model more specifically is the GenericRepository.",clean
" Made some early additions to the GenericRepository. Not yet working.",buggy
" Made supportive changes to Volume and BookKeeper classes to assist with further development of GenericRepository class.",buggy
" GenericRepository compiles. Onward to making it do what I want. Testing suite upcoming.",buggy
" There was a bug in the MaterialTests.",buggy
" Correctly resolve the ID of the receiving facility in sendMaterial.",clean
" The SeparationsMatrixFacility is now able to ask for and make offers of material.  Material enters the facility. Next issue is how facility is getting rid of material it offers and gets matched to provide.",buggy
" * In the Message class (Message.h Message.cpp):  * added trailing underscore to instance variables.  Even though you all think its ugly it is a real bear for me to figure out where variables come from.  The trailing uderscore would have been extremely helpful if you had used it consistently.  I move to use trailing unerscores from now on.  * moved opening brace for some functions to the same line as function definition.  Many other minor formatting changes (eliminating tabs...)  * removed unnecessary arg 'dir' from setPath function - the function now just uses the class instance variable (I don't know why this wasn't done before).  * Moved the printTrans method to after all the constructor definitions (instead of between them).",buggy
" Reworked and cleaned up the Logician class (interface and implementation). The changes were far reaching throughout the entire code base. It compiles and runs.  I am very happy with the results.  Note that the Logician code (both header and cpp) is only ~65% of its previous length. Here is a summary list of many of the changes:  * cleaned up/consolidated Logician interface.  * combined addInst addFacility etc. into a single addModel * combined get[modeltype]ByID into getModelByID. This removed need for function pointer in BookKeeper.cpp * combined get[modeltype]ByName into getModelByName. This removed need for function pointer in BookKeeper.cpp * combined print[modeltype] into printModels method.  * Message class (Message.h Message.cpp) - removed the sender and recipient args from setPath as they were also already instance variables. Adjusted code comments accordingly.  * formatting cleaned up in Model.cpp Logician.cpp. Logician.h and other places  * marked some methods with TODO comments (e.g. methods that need to be private or deleted).  * Moved ModelType enum from BookKeeper.h to Model.h and made enum all caps (and correspondingly in BookKeeper.cpp). This prevents potential conflicts with other variables that may appear. And it just makes more sense to have it with the model class.",buggy
" Summary list of changes:  * added trailing underscores to Logician instance variables.  * removed model-specific list from the Logician in favor of a map<ModelType ModelList> structure.  This makes the logician much more agile - easier to adapt to whatever the uncertain future holds.  * added a END_MODEL_TYPES entry to the ModelType enum to allow for primitive iteration over the enum.  The END_MODEL_TYPES enum must always be the last entry in the enum list.  The default integers values for the enum must be used or Logician constructor code will break.  This has been noted in comments I added to the code.",buggy
" Summary list of changes:  * made CommunicatorType enum all caps (with underscores)  * made MessageDir enum all caps  * formatting cleanup in many places  * made my TODO and deprecated comments use doxygen standard format (e.g. @todo and @deprecated).",buggy
" Added file for Logician unit testing and have coded the unit test 'shell' for the Logician.",clean
" Changed all member variables in Model class to private.  Created setModelType setSN methods in the Model class.  Adjusted all other subclasses of Model class accordingly. Compiles runs input files and passes tests.",clean
" Fixed nasty bug left by me in rev 358. All should update before attempting compile/runs.",clean
" This commit primarily adds a GenericRepositoryTests file to the test suite. It really has only a very minor test (which really tests the model::load function). More tests will be possible when there is a non-xml model::init function.  I have also fixed some small errors with the (still) skeletal GenericRepository class.",buggy
" minor correction to cmakelists in the testing directory last build wasn't dynamically linking right. Now this is better. Take this as a reminder that to clear the whole build directory to be sure about library linking changes before you commit.",clean
" Changed Model ID's to have a single global ID-space.  This change required me to make the following adjustments in the code:  * changed ModelList to be a map instead of a vector to accomodate non-consecutive ID's.  * added begin(ModelType) and end(ModelType) methods to the Logician in order to preserve iterating functionality over models for classes external to logician (currently only used by bookkeeper).  * Added next_id_ static member var to Model class.  Default model constructor automatically sets the ID_ var and increments next_id_. Removed nextID vars and nextID++ statements from FacilityMode MarketModel etc. constructors.  I also deleted some comments that I felt were not helpful at all.  We should put some effort into deleting and/or improving bad comments. Examples of unhelpful comments:  ConverterModel.h /** * The ConverterModel class is the abstract class/interconve used by all * converter models * */ Yes we know it is a class.  And we probably could guess that more specific converter types inherit from this.  Material.h /** * type definition for isotopes */ What is the variable used for? How is it used.  This isn't worthless but it's not great.",buggy
" Changed all the c-style dynamic casting to c++ style dynamic casting. See issue 55.",buggy
" Adds boost requirement to build system. See issue 39.",clean
" Correct some Doxygen errors",buggy
" Added some slightly more informative input parsing... and a big default try-catch block.",clean
" This commit adds the beginnings of a directory structure for the GenericRepository and adds the xml grammar to the rng file so that the GenericRepository can be successfully loaded. Some test input files have been created as well. Finally the Volume class has been moved to its proper place within the GenericRepository model directory.",buggy
" Corrects a minor typo introduced in r370 within a test input file for the repository.",clean
" Consolidated catch statements in BookKeeper.cpp",buggy
" House-keeping on the Model class as I try to understand how the dynamic loading works.",buggy
" Made cyclus exception prettier as suggested by code review of r371 .",clean
" Added GenericRepositoryTests improvement suggested in code review of r368.",buggy
" Process made on trailing underscores. Test driver hangs prior to commit (on clean r377).",buggy
" Added a system wide decay step to the Logician::handleTimeStep method and a switch to indicate how often to perform the decay calculation on all materials.  This commit also alters all current input test files to incorporate the necessary change in the cyclus.rng schema file that added the switch.  This commit closes issue 29 .",buggy
" Appended trailing underscores to all member variables.",buggy
" * Created TimeAgent class with all virtual functions for handling sim time steps.  It inherits from Model.  * made all models with handle[whatever] methods are now subclasses of TimeAgent instead of Model.  * added a TimeAgent stub class (and added it to cmakelists.txt files). Left other stubs as they are. Not sure how many stubs we want but the complete set of permutations is growing.  A complete set would minimally require the creation of StubCommTimeAgent.  * moved region model constructor into cpp file to prevent #include loops  * moved handle[whatever] responsibility from logician into timer.  * RegionModel registers itself to receive time-step notifications in its constructor  * Care has been taken to preserve order of calls to handle[whatever] resolveMarkets and decayMaterials.",buggy
" Housekeeping on Material class and Logician.  Removed 'using namespace std' from their header files. Discovered some sloppiness in #includes - particularly some classes were getting their includes from includes of files they included - not from explicitly including their dependencies directly.  I think we need to comb through the project and shore up the #includes for each class: remove unused includes move includes that are only used in implementation to the implementation file explicitly include dependencies directly.",buggy
" * TAKE CARE: don't put 'using namespace std' in header files.  * TAKE CARE: don't include files in a header that are only used by implementation as it can cause include circle problems in the future.  * noticed that UniformTaylor threw std::strings as exceptions instead of GenException.  Code in Material class's decay member function had a try statement that did nothing but convert a UniformTaylor exceptions (strings) into GenExceptions.  I changed UniformTaylor exceptions to GenExceptions and removed try statement in decay member function. Removed unnecessary try-catch blocks from uniform taylor.  * housekeeping in many classes.  * removed 'using namespace std' from all core header files (everything not inside the Model directory) - see issue 57.",buggy
" Removed using namespace std from core model type classes (FacilityModel MarketModel etc. Removed unneeded includes here and there. More house-keeping.",buggy
" This took a lot longer than expected. It adds some non-xml constructors to everything except the capacity region which had an intricated initialization scheme that I didn't want to mess with. Much of this structure was taken from robert's suggestion in issue59. A templated static caster was added for ease of use. The basic structure is expressed by this snippet at http://codepad.org/Cq49ElpD .",buggy
" I failed to include the markets in the change committed in r390. This fixes that.",buggy
" This adds a GenericRepository wiki page and makes some structural advances in the current GenericRepository model.  It also fixes a very minor typoin the FixedInst.",buggy
" Incremental improvements to GenericRepository. Throws enough exceptions too keep unwitting users from thinking it is fully functional.",buggy
" Housekeeping.",buggy
" Fixes missing += in error message construction consolidates addmodel command.",buggy
" This does a few things :  - adds better datatyping to cyclus.rng file. (issue37) - adds lifetime variable to recipereactor initialization (fixes runtime segfault) - fixes poor template handling in FacilityModel::init(map<stringvoid*) function (also fixes runtime segfault)",clean
" Fixed a negative year in the nwtrb facilitycatalog. Yay for type checking. This input file however doesn't actually run because we've taken the broken storage facility out of the build...",buggy
" fixed compile failure - I had to #include cstring in the bookkeeper.cpp file. I'm not sure if this is a quirk of my machine or what.  Did compiling fail for anyone else in r399?",clean
" Made improvements to the GenericRepository class.  Note: This is a work in progress. Changes in this commit include :  - changes in the cyclus.rng file don't forget to reconfigure your build - a StubComponent class - addition of the StubComponent class to the build system. Reconfigure! - some structure for a multi-component repsoitory input scheme - an update to one repo input file. other test input files still need to be updated.",buggy
" Minor. Fixes wf_wp_map_ and commod_wf_map initialization.",clean
" Adds exception for cleaner break. Also the last commit was a little backwards so strike that reverse it.",buggy
" GenericRepository can now generate a new StubComponent and call the StubCompnent init function.",buggy
" GenericRepository bugfix. The allowed waste forms and commodities now initialize properly. Sorry about all these commit emails during the early development of this module. I just like to commit as often as improvements compile. I do not expect code reviews on each of these. I will make specific code review requests for improvements to this module when those are desired. Thanks...",buggy
" StubComponent is initialized and functional. Next step... process logic.",buggy
" This reverts the changes made in r391 and r390. For the interested this was very easy with the commands:  svn merge -c -391 https://cyclus.googlecode.com/svn/trunk svn merge -c -390 https://cyclus.googlecode.com/svn/trunk  Some merging conflicts arose so some cleanup was required. I'd like everyone to try reconfiguring compiling and running it to make sure everything is okay.  This closes issue 70.",buggy
" Revamped message passing paradigm to be more generic simpler codewise and simpler to understand. Messages track their upward path.  When the message direction is down they retrace their upward path (in reverse). The actual receiveMessage calls are performed by the Message class (ideally receiveMessage will never be called by anything but the message class.  The sendMessage became entirely unnecessary and has been removed from the communicator class. This is a pretty deep-core change and I would encourage all to check and make sure cyclus runs as it has before (no nasty hidden bugs). Code reviews would be great.",buggy
" Housekeeping got rid of atoi and atof everywhere. Issue87 closed.",buggy
" Removed nearly empty Communicator.cpp file from cyclus project.  Communicator class is now effectively a pure virtual/abstract class.  Removed unused CommunicatorType enum from Communicator.h",buggy
" GenericRepository improvements... consolodates some code into an initComponent function. More flexibility can be built on top of this later...",buggy
" GenericRepository improvements... Various process logic fixes within the GenericRepository. Working toward issue69.",buggy
" Message class now throws an exception if a communicator attempts to send a message to itself. I only tested it crudely (and it appears to work).  Feel free to test this by trying to have models send messages to themselves (anywhere in the messaging chain).",buggy
" GenericRepository Loads wfs>wps>buffers. No runtime errors still working on robust process logic (issue69) consistent subcomponent initialization etc.",buggy
" GenericRepository fixes to process logic... deque iterators were failing to be consistent when operations involving pushing and pulling elements occured within the loops. Better now.",buggy
" Realized virtual methods can be private.  Changed Communicator class to reflect this.",clean
" GenericRepository additions... added a virtual ThermalModel interface class...",clean
" Added MessageTests (only partially complete - but very nifty). Refactored message passing a bit - made the code more self-documenting.",buggy
" Basic message passing test suite completed. Tests for proper message passing between multiple communicators.  Checks that exceptions are thrown if a communicator tries: to send a message w/o destination to send a message to itself.  Checks that messages can be yo-yo'ed by flipping direction between UP and DOWN (they can). Checks that messages retrace their upward path properly.",buggy
" improved tests by using more features of googletest (primarily better assertion selection).",clean
" Added SourceFacilityTests file (but it is commented out in the cmakelists file because there is a linking error I have been unable to resolve as yet. Minor housekeeping.",buggy
" Improvements to Generic Repository including virtual thermal and nuclide model classes which split up the previous functionality of the component class.",buggy
" GenericRepository improvements and associated wiki edits and input file improvements. Waste condtitioning packaging and emplacement occurs properly. No physics is implemented and only the stub model works. This addresses issue69.",buggy
" GenericRepository minor cleanup",buggy
" Uncommented lines 14 and 15 in cmakelists for tests - SourceFacilityTests now runs (albeit it fails) and can be used as a guide for how to write future tests.  At first when I ran the test it kept seg-faulting.  That was because some classes were naughty and had methods that returned NULL or uninitialized pointers.  I think we should make it a general practice to never return a NULL or uninitialized pointer - rather to throw an exception - this allows us to get more helpful error messages.  In order to get the test to compile I did as steve suggested and moved the construct and destruct functions into the SourceFacility class's implementation file.  As paul mentioned we can't rename these functions but we should move them into the implementation files.",buggy
" fixed errors in the StorageFacility.cpp file so it can be compiled.",buggy
" moved extern C construct/destruct stuff from header to implementation for all facility models.",buggy
" Cleanup doxygen errors - mostly unmatched function implementations because explicit std namespace was used in headers and not in implementations.",buggy
" Fixed infinite looping/hang when attempting to run cyclus from outside the build directory.  Cyclus can now be executed from any arbitrary directory as the working directory.",buggy
" cleaned up the code that allows cyclus to be executed from any directory.",buggy
" Removed test tests.  CyclusUnitTestDriver can now be executed from an arbitrary working directory.",buggy
" Changed name of GenException to CycException - it is now more 'conventional' and is clear that CycExceptions are exceptions that belong to our code base. Created CycException subclasses (CycIOException CycTypeException CycNullException CycRangeException CycParseException CycOverrideException CycMessageException) and changed existing exception throws to use one of the more specific subclasses.",buggy
" Transactions/Messages now use pointers to requester/supplier pairs instead of ID's.  The Logician function getModelByID is now deprecated and unused in our codebase.",buggy
" Created a logger/verbosity candidate class. It is based on code found here: http://drdobbs.com/cpp/201804215?pgno=1 . I haven't had time to add documentation to it yet but I will do it soon.  There is an example of how to use it in the App.cpp code file.",buggy
" sorry - the App.cpp logger example should have been included with the prev revision.",clean
" This addresses the platform-dependent issue introduced in r432 in which one static variable referenced another. The order in which they're initialized is not consistent among compilers.  My compiler/linker on OSX was trying to initialize InputXML::main_schema_ before Env::path_from_cwd_to_cyclus_ .  Here's a stack overflow discussion link for the curious:  http://stackoverflow.com/questions/211237/c-static-variables-initialisation-order  In any case with this sleuthing Robert was able to make the simple suggestion that the default main_schema_ variable not rely on the path_from_cwd_to_cyclus_ will be portable accross platforms. That solution is implemented here.",clean
" Added command line arg parsing via the boost program_options library (it's pretty nifty). Experimented with changing 'verbosity' levels from the command line.  It works. I understand that the logger I have created is still a candidate not necessarily the chosen one.",buggy
" Cleaned up logger handling of conversion between enum and text.",clean
" Small logger adjustments.",clean
" Moved market resolve handling functionality out of the logician and into the timer. Markets now 'register' to receive 'resolve' notifications.",buggy
" Moved a great deal of exception throwing down lower (into the logician) and out of the concrete models. Many throws were consolidated/gathered.",buggy
" removed experimental lines I left in App.cpp from the last commit. I'm getting sloppy.",clean
" house-keeping. Deleted unused methods in logician getMarketBy(...).",buggy
" Moved commodity instance tracking into a static member var in the Commodity class.  Previously the commodity constructor added every commodity to the logician.  I figured since the commodity class already 'knows' when instances of Commodity are created we might as well track commodity instances where they are already known - eliminating another cross dependency.",buggy
" Beginnings of a conditioning facility... a work in progress.",buggy
" exception housekeeping and changed level_to_string in logger to a vector (instead of map) as steve suggested.",buggy
" Investigated BookKeeper some. The function writeModelList was pretty long and hard to follow so I split it up into a setUpModelList and doWriteModelList. I had some issues with passing pointers to arrays so I am only committing a version with the second function.",clean
" Housekeeping and minor performance mods to Logger.",buggy
" Split logger into separate interface/implementation files. Command line verbosity arg can now be given optionally as int.",buggy
" Migrated cout statements to LOG(level) statements.  I'm sure there will be adjusting with the LOG statements and levels (and how we use them) as we begin to use this more.  I think we should come up with a few general guidelines to use for doing LOG statements.",buggy
" Started to refactor the material class (basically making CompMap into its own IsoVector class). Minor housekeeping.  The refactored files have not yet been added to cmakelist so they don't affect the build.",buggy
" More work on the Material class refactor. Housekeeping (i.e. giving methods/variables better names).",buggy
" More work on the material class refactor.",buggy
" more work on material class refactor.",buggy
" IsoVector is nearing completion. I added it to the cmake build. It still is unused in the core.",buggy
" More work on the conditioning facility.",buggy
" changed setSN() to setID() and getSN() to ID()",buggy
" changed getName() to name() and added the notion of parent and children to the Model class. Note: my parent/child commit got corrupted so I'm checking it in in bits at a time.",buggy
" This is a relatively large commit which has far-reaching implications.  This commit institutes the child/parent paradigm. Now all models have a notion of their parent model and their child models. Within the R-I-F heirarchy messages are passed up from children to parents.  A few housekeeping actions have been taken as well such as removing some using namespace stds.",buggy
" Cleaned up last commit.. odd error. I replaced all the getSNs etc. before using find+sed; however those changes didnt register with SVN. Accordingly I checked out a sandbox version and fixed the rest with my emacs regexp search and replace. This way was much more tedious. I'd be interested in hearing ideas as to why this might have happened.",buggy
" Improvements on HDF5 conditioning table loading.",buggy
" Added grammar and highly unattractive csv reader to ConditioningFacility as well as an example input file.",buggy
" Fixes a path error in ConditioningFacility adds some comments.",clean
" Layout updates to the GenericRepository its schema and its test input files. Working toward issue72 .",clean
" Testing what it takes to fix unnecessary executable file permissions using svn propdel svn:executable cyclus.rng . If it does work my next commit will apply it to all files which shouldn't be executable. If it doesn't I may keep testing..",clean
